rows=8433
cols=3180
(0, 381, -694)
(0, 128, -838)
(0, 639, 857)
(0, 165, -933)
(0, 1350, -89)
(0, 2044, -836)
(0, 826, 642)
(0, 37, -561)
(0, 426, -566)
(0, 54, -609)
(1, 1087, -677)
(1, 1403, -562)
(1, 652, 287)
(1, 1006, -543)
(1, 722, -974)
(1, 2711, -497)
(1, 1379, 923)
(1, 725, 179)
(1, 609, -44)
(1, 2397, 334)
(1, 2787, 206)
(1, 939, -53)
(1, 2585, -890)
(1, 55, -929)
(1, 1114, -877)
(1, 2668, -980)
(1, 1177, -740)
(1, 896, 1006)
(1, 420, -973)
(1, 1997, -351)
(1, 1209, -335)
(1, 307, -543)
(1, 563, -515)
(1, 1301, -911)
(1, 1295, -741)
(1, 23, 493)
(1, 729, -735)
(1, 35, 573)
(1, 1295, 952)
(1, 1303, -220)
(1, 1255, 154)
(1, 1246, -725)
(1, 1373, -662)
(1, 601, 860)
(1, 894, -701)
(1, 1783, -683)
(1, 1096, -726)
(1, 1117, 805)
(1, 925, 525)
(1, 1041, -159)
(1, 626, -859)
(1, 2799, -732)
(1, 160, -584)
(1, 1884, -592)
(1, 873, 991)
(1, 941, -556)
(1, 1251, -239)
(1, 960, -348)
(1, 556, -534)
(1, 366, -826)
(1, 2098, -543)
(1, 1532, 409)
(1, 570, -823)
(1, 945, -442)
(1, 651, -550)
(1, 204, 370)
(1, 1367, 603)
(1, 1410, -867)
(1, 111, -876)
(1, 1950, -721)
(1, 1730, 929)
(1, 1177, -670)
(1, 1489, -593)
(1, 1322, -769)
(1, 1467, -343)
(1, 2478, -514)
(1, 434, 53)
(1, 501, -653)
(1, 513, 757)
(1, 843, 999)
(1, 110, -896)
(1, 516, 440)
(1, 801, 151)
(1, 1596, -749)
(1, 1719, -571)
(1, 735, -780)
(1, 1462, -694)
(1, 921, -584)
(1, 755, -326)
(1, 1070, -436)
(1, 1682, -526)
(1, 872, -440)
(1, 1015, -828)
(1, 3050, -1005)
(1, 1284, -643)
(1, 2489, -253)
(1, 1247, -584)
(1, 2202, -857)
(1, 382, -665)
(2, 1352, -888)
(2, 585, 90)
(2, 348, -841)
(2, 790, 355)
(2, 3054, 10)
(2, 287, -934)
(2, 249, -585)
(2, 245, -914)
(2, 1498, -411)
(2, 1583, -962)
(2, 468, -612)
(2, 991, -671)
(2, 583, -157)
(2, 379, -988)
(2, 2385, -625)
(2, 848, -945)
(2, 687, -814)
(2, 130, -791)
(2, 226, 256)
(2, 794, -967)
(2, 1411, -344)
(2, 1003, 186)
(2, 372, 381)
(2, 1439, -88)
(2, 1118, 144)
(2, 754, -650)
(2, 2057, -311)
(2, 208, -904)
(2, 689, -733)
(2, 511, -980)
(2, 1332, -723)
(2, 1008, -559)
(2, 2548, -760)
(2, 1068, -1000)
(2, 906, -291)
(2, 1111, -364)
(2, 1018, -603)
(2, 772, -102)
(2, 1346, -596)
(2, 2065, -714)
(2, 837, -815)
(2, 1454, -558)
(2, 52, 56)
(2, 170, -1017)
(2, 1104, -248)
(2, 1447, 455)
(2, 1081, -658)
(2, 2418, -861)
(2, 1578, 37)
(2, 1550, -527)
(2, 764, 436)
(2, 3030, -942)
(2, 498, -694)
(2, 3166, -339)
(2, 1003, -597)
(2, 1452, 870)
(2, 3076, -545)
(2, 1135, -618)
(2, 873, -911)
(2, 264, 856)
(2, 106, 240)
(2, 710, -707)
(2, 805, -150)
(2, 647, 995)
(2, 1232, -947)
(2, 558, -604)
(2, 1370, -706)
(2, 1618, -557)
(2, 2290, 697)
(2, 2804, -526)
(2, 2765, -947)
(2, 889, -784)
(2, 664, -978)
(2, 787, -732)
(2, 1238, 44)
(2, 957, -700)
(2, 1051, -292)
(2, 846, -869)
(2, 30, -670)
(2, 3052, -807)
(2, 520, -988)
(2, 146, 693)
(2, 2834, 394)
(2, 2038, -664)
(2, 500, -1014)
(2, 137, -896)
(2, 1544, -889)
(2, 1002, -696)
(2, 512, 218)
(2, 261, -912)
(2, 2580, -638)
(2, 1066, -924)
(2, 531, 32)
(2, 502, -1014)
(3, 785, 959)
(3, 2190, -1018)
(3, 2961, 316)
(3, 1277, -456)
(3, 68, -915)
(3, 1415, -689)
(3, 532, -723)
(3, 1725, -755)
(3, 1567, 709)
(3, 167, -814)
(3, 1480, -566)
(3, 1733, 389)
(3, 1231, -1008)
(3, 1459, -979)
(3, 1476, -837)
(3, 2891, -329)
(3, 786, -561)
(3, 376, -990)
(3, 855, -674)
(3, 541, -887)
(3, 626, -644)
(3, 1194, 961)
(3, 811, 693)
(3, 883, 310)
(3, 704, -893)
(3, 26, -823)
(3, 298, -639)
(3, 1052, -679)
(3, 1074, -953)
(3, 551, 485)
(3, 2080, 392)
(3, 637, -806)
(3, 1134, 514)
(3, 1086, -224)
(3, 827, 748)
(3, 3062, -1007)
(3, 1342, -518)
(3, 660, -533)
(3, 610, -793)
(3, 2409, 906)
(3, 684, -737)
(3, 1441, 345)
(3, 110, 970)
(3, 1081, 994)
(3, 158, -532)
(3, 1140, -987)
(3, 243, 817)
(3, 202, -397)
(3, 1536, 516)
(3, 2438, -656)
(3, 1850, -628)
(3, 610, -605)
(3, 2751, 166)
(3, 1910, -961)
(3, 1086, -898)
(3, 1403, -589)
(3, 1013, -713)
(3, 1382, -990)
(3, 1509, 934)
(3, 891, -654)
(3, 1161, -422)
(3, 769, -653)
(3, 1410, -951)
(3, 474, -553)
(3, 1328, -947)
(3, 1219, 27)
(3, 2375, 4)
(3, 864, -561)
(3, 865, -249)
(3, 1532, -628)
(3, 704, 1009)
(3, 1229, 373)
(3, 7, -764)
(3, 2453, -783)
(3, 409, -329)
(3, 2141, -412)
(3, 1589, 252)
(3, 238, -772)
(3, 899, -665)
(3, 1854, -949)
(3, 202, -546)
(3, 1325, -1009)
(3, 424, 185)
(3, 713, 5)
(3, 1455, 232)
(3, 621, 852)
(3, 746, -608)
(3, 2605, -929)
(3, 1191, -534)
(3, 1370, -663)
(3, 434, -874)
(3, 2236, -719)
(3, 2861, -1017)
(3, 2906, -572)
(3, 2992, 922)
(3, 1036, 959)
(3, 242, -858)
(3, 1291, -1022)
(3, 1538, -137)
(3, 1847, -558)
(3, 934, -670)
(4, 2814, -864)
(4, 729, 406)
(4, 871, -787)
(5, 1339, 358)
(5, 1359, 739)
(5, 555, -817)
(5, 2142, -900)
(5, 895, 841)
(5, 932, 406)
(5, 2480, -624)
(5, 1928, 203)
(5, 1063, -583)
(5, 943, -1004)
(5, 1560, 724)
(5, 457, -672)
(5, 2315, -523)
(5, 2628, -842)
(5, 890, 444)
(5, 1346, 201)
(5, 258, -953)
(5, 1971, -938)
(5, 901, -1007)
(5, 664, 9)
(5, 537, -545)
(5, 2810, 300)
(5, 1424, -978)
(5, 32, 273)
(5, 78, -842)
(5, 198, -696)
(5, 1150, -615)
(5, 1630, -832)
(5, 2170, -618)
(5, 116, -766)
(5, 1466, -724)
(5, 605, -685)
(5, 3040, -909)
(5, 2795, -915)
(5, 1197, 498)
(5, 2213, -537)
(5, 1027, -777)
(5, 2185, 967)
(5, 1018, -683)
(5, 858, -940)
(6, 1924, 617)
(6, 929, 529)
(6, 395, -765)
(6, 622, 690)
(6, 812, -720)
(6, 2105, -952)
(6, 715, -639)
(6, 363, -580)
(6, 1095, -809)
(6, 491, -514)
(6, 77, -922)
(6, 1549, 1009)
(6, 2803, -530)
(6, 1515, 284)
(6, 1051, -747)
(6, 1547, 383)
(6, 2692, -890)
(6, 604, 167)
(6, 912, -885)
(6, 1554, 690)
(6, 1138, -889)
(6, 1380, -548)
(6, 426, -569)
(6, 138, -643)
(6, 1333, -650)
(6, 206, -360)
(6, 71, 333)
(6, 1641, -563)
(6, 444, 233)
(6, 1336, 623)
(6, 235, -781)
(6, 2391, -551)
(6, 3051, -618)
(6, 1364, 145)
(6, 2923, 396)
(6, 315, -645)
(6, 177, -670)
(6, 1904, -865)
(6, 477, -615)
(6, 391, 802)
(6, 197, 96)
(6, 372, 20)
(6, 1938, -810)
(6, 1695, -864)
(6, 2437, -553)
(6, 3061, -925)
(6, 976, 695)
(6, 1522, -775)
(6, 441, -523)
(6, 1473, -644)
(6, 849, -696)
(6, 764, -939)
(6, 1551, 743)
(6, 930, -756)
(6, 2099, -740)
(6, 756, -712)
(6, 2100, -316)
(6, 1549, -1012)
(6, 1139, 103)
(6, 2135, -637)
(7, 1861, -910)
(7, 337, -558)
(7, 2038, 721)
(7, 1695, -619)
(7, 1480, 810)
(7, 1423, -583)
(7, 408, -962)
(7, 2353, -746)
(7, 1065, -970)
(7, 245, -533)
(7, 35, -872)
(7, 767, -773)
(7, 741, -941)
(7, 869, -744)
(7, 35, -925)
(7, 1521, -743)
(7, 3146, 857)
(7, 593, -865)
(7, 763, -295)
(7, 128, 6)
(7, 1076, -854)
(7, 1755, -861)
(7, 1216, -191)
(7, 892, -997)
(7, 1287, 718)
(7, 602, -1020)
(7, 2238, -634)
(7, 956, -787)
(7, 132, -699)
(7, 2152, -756)
(7, 1159, 505)
(7, 2412, 793)
(7, 1157, -525)
(7, 1234, -798)
(7, 1395, 576)
(7, 489, -880)
(7, 1519, -807)
(7, 675, 426)
(7, 1584, -998)
(7, 927, -965)
(7, 1063, 96)
(7, 889, 242)
(7, 1201, -405)
(7, 811, -985)
(7, 510, -673)
(7, 293, -699)
(7, 2801, -525)
(7, 1319, -685)
(7, 949, 31)
(7, 332, -969)
(7, 485, -840)
(7, 2111, -401)
(7, 202, 652)
(7, 683, -894)
(7, 1561, -4)
(7, 2842, -540)
(7, 588, -585)
(7, 1350, -798)
(7, 437, -896)
(7, 723, -156)
(7, 2474, -526)
(7, 2501, -1023)
(7, 470, -556)
(7, 1026, -747)
(7, 239, 652)
(7, 386, -719)
(7, 1573, -165)
(7, 506, -929)
(7, 1547, -993)
(7, 2036, -822)
(7, 2023, -589)
(7, 632, -806)
(7, 788, -591)
(7, 1555, -628)
(7, 553, -537)
(7, 33, -747)
(7, 1668, -832)
(7, 116, -766)
(7, 3106, -793)
(7, 289, -386)
(7, 653, -682)
(7, 1556, -842)
(7, 1199, -819)
(7, 737, -521)
(7, 375, -691)
(7, 1162, -336)
(7, 1530, -549)
(7, 134, 999)
(7, 710, -549)
